did,handle,avatar,banner,description,display_name,followers_count,follows_count,indexed_at,labels,posts_count,viewer,py_type,is_frequent_poster
did:plc:cnpe7qvcyjrhm6w7w7e4atur,kevinmkruse.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:cnpe7qvcyjrhm6w7w7e4atur/bafkreid7tqojotcpkaoljdayyrm3ngygep5mkkolxakjaagwx3lolvycv4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:cnpe7qvcyjrhm6w7w7e4atur/bafkreia7dt4id7kqf6lku4lsdpeejm6yewpq6p6r3ldhfsvhjtwz5xey4u@jpeg,Historian: White Flight; New Suburban History; Fog of War; One Nation Under God; Fault Lines; Voter Suppression; Myth America. CAMPAIGN TRAILS: KevinMKruse.Substack.com,Kevin M. Kruse,57789,1076,2024-01-25T23:53:20.461Z,[],6324,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:qfflfersmonljuxmm6iyb445,iboudreau.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:qfflfersmonljuxmm6iyb445/bafkreicxa27ohqwllwanbanvchemftkput5xbwnupuwl54mapif6goznue@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qfflfersmonljuxmm6iyb445/bafkreifslr3zqulq3ri7fvwbedqnwidmveibu4kyg7ikbg2whdxtdf2a7m@jpeg,"Editor, reporter, critic, 3MA panelist at large, and games consultant. I write about, talk about, and sometimes even play games. 

📍The spacious Philadelphia suburb of Delaware

ianboudreau.com",Ian Boudreau,3753,1659,2024-03-01T15:07:17.508Z,[],11974,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:x4qyokjtdzgl7gmqhsw4ajqj,bencollins.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:x4qyokjtdzgl7gmqhsw4ajqj/bafkreiegnl4y25dskfap4vn42yrq7j7o7mc5jrk3uw75xyx34ztwxkyo2u@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:x4qyokjtdzgl7gmqhsw4ajqj/bafkreieneyfk5r7xmx55rfcfs6hluopzjogxkgij4djqosvx5e7l3lfvfa@jpeg,"ۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗSenior reporter, investigations, NBC News. ""He is unwell.""—Megyn Kelly",Ben Collins,66673,1305,2024-01-25T23:51:12.393Z,[],2192,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:tbqqvyv6pjjww44glrmycaxl,carlbergstrom.com,https://cdn.bsky.app/img/avatar/plain/did:plc:tbqqvyv6pjjww44glrmycaxl/bafkreicftrqk64avistpjiplizguifkgpsou35irorm4yyy5cu44b4hpcq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:tbqqvyv6pjjww44glrmycaxl/bafkreicsjgmmfwjprwmbclmiaaffx7vimivde2q4yst4cowyxn3stvts4e@jpeg,"Biology professor at the University of Washington. 

I study how information flows in biology, science, and society.

I wrote a book: *Calling Bullshit*: http://tinyurl.com/fdcuvd7b

I love ravens and crows: https://tinyurl.com/mr2n5ymk

he/him",Carl T. Bergstrom,36631,1295,2024-03-04T00:42:30.818Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:tbqqvyv6pjjww44glrmycaxl', uri='at://did:plc:tbqqvyv6pjjww44glrmycaxl/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreidtqiy6zvieyyavraesfnco25hrzzawqmhxx732edmdqu27nsniuu', neg=None, py_type='com.atproto.label.defs#label')]",2701,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:ivi23zcn3xw6kthcafykdlsf,chantalalive.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ivi23zcn3xw6kthcafykdlsf/bafkreiadatu4evdrggc2pjek2gmdkpgkavt2zgjvujaswxwwqc4x3xdibm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ivi23zcn3xw6kthcafykdlsf/bafkreiekphyiipxkt6ppobgdavtww3dqtxirvfkwtvvpmxax4x5hw7xnti@jpeg,"Check your vernacular & then I’ll get back to ya. Essayist poet philosopher & writer of the 2022 debut novel NONE BUT THE RIGHTEOUS. She/her
https://www.penguinrandomhouse.com/books/676226/none-but-the-righteous-by-chantal-james/",Chantal James,4093,463,2024-01-26T00:03:18.101Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:ivi23zcn3xw6kthcafykdlsf', uri='at://did:plc:ivi23zcn3xw6kthcafykdlsf/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreidoc32joqxa5w6dt67jfedhbtg46gx6d3y52kbymmtmysbh2srpgi', neg=None, py_type='com.atproto.label.defs#label')]",23603,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:ukhaigpilraq5laa2pdmrwph,eladn.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ukhaigpilraq5laa2pdmrwph/bafkreibh6qxrktq3zhxxroeah6hxfc6cn6qhy6ka3ubhdjcpzd4lkhoyku@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ukhaigpilraq5laa2pdmrwph/bafkreiaogqupmkwzfzlftdur7g57gfhkjzkl3peasgd6undzimuid5eeqa@jpeg,"Ex-Hasidic, pro-good-trouble | Writer: extremism, antisemitism, & how tech spreads both | MSNBC, DailyBeast, HuffPo, the Forward & more | Founder: justicemarketing.io | Newsletter: eladnehorai.substack.com",Elad Nehorai,7978,828,2024-01-25T23:54:50.763Z,[],2583,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:p5yoii26kayabauhkym3vtms,ryanlcooper.com,https://cdn.bsky.app/img/avatar/plain/did:plc:p5yoii26kayabauhkym3vtms/bafkreibnw64wfvhkpvjbpswpkmpacjmy7limybgbypxjob7qavqckiyomi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:p5yoii26kayabauhkym3vtms/bafkreieacilqo34a4arskeaoategp7mbmmhkolti34gx2mpqe7jni2eivu@jpeg,"Managing editor at The American Prospect, cohost and producer of the Left Anchor podcast https://www.patreon.com/leftanchor

Newsletter: https://www.ryanlcooper.com/",ryan cooper,18330,912,2024-01-25T23:56:20.132Z,[],6854,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:itlxawcltyjh6mcxympjq4l4,neolithicsheep.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:itlxawcltyjh6mcxympjq4l4/bafkreidst6cxjyxz555rbzjhy4imc4uymonvb2zhbwkhouvx75o2hytlxi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:itlxawcltyjh6mcxympjq4l4/bafkreibnwbp4exdw4ptv6mbxucpax5gu6ofpgupbv2bef6yfazadoaw7xa@jpeg,"""Swear to god you're like a Fox Fire book set in hell."" - Ursula Vernon
Trans and queer anarchist sheep farmer. Navy veteran attempting to redeem himself. Crippled and crazy. Left the southeast for SoCal due to the rise of fascism. He/him",Shepherd,9790,262,2024-01-25T23:51:34.498Z,[],17693,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:rw7cg43snfds5sds2pawnlgi,newamauta.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:rw7cg43snfds5sds2pawnlgi/bafkreia4tzny2k6jv6vqk3iapi37ojldiaq4ynk24wz5docq4dcqogfpby@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rw7cg43snfds5sds2pawnlgi/bafkreicvv5p4rmlzul7tfrrminunv4zw6w7ahigd6djndcgcybykig5rgi@jpeg,"Teaching Indigenous Philosophy, History, and Politics across North and Latin America. Beyond borders. Quechua-Aymara",New Amauta,252,75,2024-02-04T18:42:59.248Z,[],165,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:i3mhliziy2r37ytl2rof5e3h,jefftiedrich.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:i3mhliziy2r37ytl2rof5e3h/bafkreid4y6bk5mubf5wiymgz7tsive6jywhzwtoxrh22d7u2w6r422tj4q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i3mhliziy2r37ytl2rof5e3h/bafkreid5lay55sbangnm5o4buecky6oc42nwfnbkzcaurburxqelmiir3m@jpeg,"ugh, who invited this guy ",Jeff Tiedrich,20968,44,2024-01-25T23:53:03.348Z,[],1827,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:4k6dakv7cskxttdvfpzadq7e,kenklippenstein.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:4k6dakv7cskxttdvfpzadq7e/bafkreifjsyqrczareetiqhlt3duygpigdx26lstd2hsfive5oaqb6nfqk4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:4k6dakv7cskxttdvfpzadq7e/bafkreielxybbigpuzmuje52cj2jamcwerxl3z2rw5ru5evjkmxqood5hua@jpeg,"Reporter at The Intercept. 
Join my newsletter 👇👇👇
kenklippenstein.substack.com",Ken Klippenstein ,56749,859,2024-02-12T06:33:46.242Z,[],457,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:on5oeywiqx32fh2zau473wz6,nycsouthpaw.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:on5oeywiqx32fh2zau473wz6/bafkreic6qqg3667av7342pxsb2dxivechw6v3rmk2ybewpiwncoakoqbxq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:on5oeywiqx32fh2zau473wz6/bafkreiamtypiiwueywkaux5gdqhkfauwja5tcpvfilxp6gouiqseavhpny@jpeg,"Writer, lawyer, Dodger fan, internet dog. nycsouthpaw18 at gmail. ",southpaw,67710,738,2024-01-26T00:02:21.402Z,[],1773,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:6lex766uif2o6hcu2cawgxsg,brainnotonyet.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:6lex766uif2o6hcu2cawgxsg/bafkreicx57hg7j4476hjf7aqdbh5ilcjc3i7xmdolliszzonegw2e2yizq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:6lex766uif2o6hcu2cawgxsg/bafkreihoisg7742qc36m6zsvc46qrez753el4akclicqh5nc33ftwz6qoa@jpeg,"Freelance Writer, Academic, anti fascism, authoritarianism,modern propaganda, weaponized unreality whisperer on the dystopia beat. iwwfju member 
Www.instituteofunreality.com",Karl (sad trombone noise enthusiast) ,4498,1083,2024-01-25T23:47:15.107Z,[],8755,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:swgxwbir4rrimj57pf75jckf,mtsw.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:swgxwbir4rrimj57pf75jckf/bafkreihqtmxhaoustvuuaaagsztjbjyrgu65rl4bh5olfeav4mas673vpy@jpeg,,"I cut film and tv

@mtsw on Twitter and mastodon.social",Michael Tae Sweeney,14271,1326,2024-01-25T23:53:14.127Z,[],9020,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:ifnpirhh7ihbsqyee5yjrlam,fleerultra.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:ifnpirhh7ihbsqyee5yjrlam/bafkreiggc2pmpqgurvgkn4fyfrbx7ijcr2wcetvbdpesdso4c7utldod5m@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ifnpirhh7ihbsqyee5yjrlam/bafkreighprytgg7otypdb2vxv4llwcuaedusxceqi4inxcc5y4ev7bh4ra@jpeg,"History's most successful legal podcaster, co-host of 5-4 pod. He/Him @fivefourpod.bsky.social",Michael ,6607,359,2024-01-26T00:04:41.358Z,[],2730,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:5x4p5tgshfa7xef6f3jrv34h,raxkingisdead.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:5x4p5tgshfa7xef6f3jrv34h/bafkreiexio457svurxrotypxo5v6hwmute5ur4b3qxhshqp2icbqqff77u@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:5x4p5tgshfa7xef6f3jrv34h/bafkreif7nft2zwy73onkpywtjjn4yqjf4nu4cde5235t7mgpjuuee6efqq@jpeg,L-A-T-E-R that week,rax king,12145,419,2024-01-26T00:04:42.035Z,[],2416,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:yobyqjt4hs5icoihvaombhhn,lolgop.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:yobyqjt4hs5icoihvaombhhn/bafkreihicmgnhrjxzbsioorjsxtiqvsgrcyvmalxurh7vcxlhmivbm5uua@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:yobyqjt4hs5icoihvaombhhn/bafkreidsdbw4yoabless2evfknlxwqdr7gbletsllqvfbxx4jklsxitmh4@jpeg,Less estranged from Elon than most of his kids.,L O L G O P,15295,865,2024-01-25T23:55:48.333Z,[],5530,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:lxsue7d6cyqiwpsdr54v2urh,leavittalone.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:lxsue7d6cyqiwpsdr54v2urh/bafkreia4wvmhimskrzpuh76ea72qk7bdapadzwveuk3rtwwt24x6qasu4a@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:lxsue7d6cyqiwpsdr54v2urh/bafkreihdvdu2da4jofiiobxnncovtrzxssajztelvk72l2o5lteo55cujm@jpeg,"@Leavittalone from Twitter . Writer and cartoonist. Seen in The Toast, New Yorker, The Awl, The Nib, Racked, The Rumpus, The Baffler, etc. That guy you met at that party once. http://www.leavittalone.com/
",John Leavitt,4458,533,2024-01-28T07:26:46.006Z,[],9146,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,True
did:plc:zs5cbnx3p4g5mie5peplc665,thomaszimmer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:zs5cbnx3p4g5mie5peplc665/bafkreietwxpez3nzckflgg7xle6meynqb3jwqnsj2dckjc26hgon2awife@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zs5cbnx3p4g5mie5peplc665/bafkreidfhtr6phjg7cdnspaa7dzubqctarl2ysvhoe74odlteuoom7jasm@jpeg,Historian at Georgetown - Democracy and Its Discontents - Newsletter: Democracy Americana https://thomaszimmer.substack.com/ - Podcast: Is This Democracy https://podcasters.spotify.com/pod/show/is-this-democracy,Thomas Zimmer,9690,396,2024-01-26T00:01:43.012Z,[],2372,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:lvo2kauo7fg57ycm2p444lum,seriousfreudoffice.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:lvo2kauo7fg57ycm2p444lum/bafkreidt6y3qma6fozmtgvhkmb5wzkpkvlxpgvwiswvsjfvhg3yrsb6zvy@jpeg,,"Paid shill for Big Mood.

Mental health nerdery, shitposting, and socialism, mostly.

Variably he/she/they.",Serious Freud Office,51,83,2024-03-06T22:44:05.919Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:lvo2kauo7fg57ycm2p444lum', uri='at://did:plc:lvo2kauo7fg57ycm2p444lum/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreictg3y7k5uztxjcz4s3bolh456b2rq7zm624v4xqq2guak6do3cza', neg=None, py_type='com.atproto.label.defs#label')]",49,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
