linkid,link,sociopolitical,ideology,partisan,metadata,source_feed
35,https://bsky.app/profile/henningtillmann.de/post/3krlsanvvcc2t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
36,https://bsky.app/profile/jonathancohn.bsky.social/post/3krhxehfgz32o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
37,https://bsky.app/profile/bestofdyingtwit.bsky.social/post/3kreu5p4hvc27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
38,https://bsky.app/profile/banditelli.org/post/3krjktfzs2w2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
39,https://bsky.app/profile/jackiantonovich.bsky.social/post/3krnu33nnre2i,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
40,https://bsky.app/profile/tikkunolamunist.bsky.social/post/3kriymwf3yc2t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
41,https://bsky.app/profile/roxanegay.bsky.social/post/3krf6elqx7c2x,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
42,https://bsky.app/profile/simzart.bsky.social/post/3krhq54cq7s2v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
43,https://bsky.app/profile/nslayton.bsky.social/post/3kri4tggi7c2m,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
44,https://bsky.app/profile/lolennui.bsky.social/post/3krh556gks22d,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
45,https://bsky.app/profile/kevinmkruse.bsky.social/post/3krkhxpos3s27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
46,https://bsky.app/profile/mpbroache.bsky.social/post/3krt5c3defc2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
47,https://bsky.app/profile/bodegacats.bsky.social/post/3krqzi4gnq32v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
48,https://bsky.app/profile/michaelhobbes.bsky.social/post/3krggjufsiw2p,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
49,https://bsky.app/profile/coachfinstock.bsky.social/post/3krel3a6eec2s,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
50,https://bsky.app/profile/cwolbrecht.bsky.social/post/3krqruka27l2s,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
51,https://bsky.app/profile/apocalypticanow.bsky.social/post/3krekjmkltc2u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
52,https://bsky.app/profile/bearinbriefs.bsky.social/post/3krhh2ureuc27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
53,https://bsky.app/profile/acab4cutie.top/post/3krhr72zyss2l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
54,https://bsky.app/profile/emissaryofnight.bsky.social/post/3krubezinjs2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
55,https://bsky.app/profile/jackmirkinson.bsky.social/post/3krfcgaec422k,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
56,https://bsky.app/profile/secretaboutbox.bsky.social/post/3krn47cfe5t2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
57,https://bsky.app/profile/sjjphd.bsky.social/post/3krgo5dlgjk2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
58,https://bsky.app/profile/gbbranstetter.bsky.social/post/3krk2c5dotb2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
59,https://bsky.app/profile/michaelhobbes.bsky.social/post/3krt772xuxl2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
60,https://bsky.app/profile/leonardpierce.bsky.social/post/3krfemallbk26,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
61,https://bsky.app/profile/nitorisasami.com/post/3krllxqx6ht2w,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
62,https://bsky.app/profile/gbbranstetter.bsky.social/post/3krmqnzgtn526,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
63,https://bsky.app/profile/quinnae.com/post/3krhlf76w3k2o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
64,https://bsky.app/profile/roryblank.bsky.social/post/3krmgeu3dhc2p,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
65,https://bsky.app/profile/rincewind.run/post/3kreazpv3es23,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
66,https://bsky.app/profile/thielman.bsky.social/post/3krfdv7iuu224,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
67,https://bsky.app/profile/rincewind.run/post/3krjoolqy7c2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
68,https://bsky.app/profile/lukelukeluke.bsky.social/post/3krecv2fx6c2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
69,https://bsky.app/profile/curseyoukhan.bsky.social/post/3krgjaw26oi2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
70,https://bsky.app/profile/arakencloud.bsky.social/post/3kri2w5tnmc2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
71,https://bsky.app/profile/erinbiba.bsky.social/post/3krhou2mgn22z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
72,https://bsky.app/profile/scalzi.com/post/3krko43kgu32t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
73,https://bsky.app/profile/theferocity.bsky.social/post/3krofbrp7d22i,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
74,https://bsky.app/profile/coachfinstock.bsky.social/post/3krouf7mfrj25,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
75,https://bsky.app/profile/madrigal.bsky.social/post/3krmlfajcot2s,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
76,https://bsky.app/profile/nkalamb.bsky.social/post/3krntfocnsc2l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
77,https://bsky.app/profile/brendelbored.bsky.social/post/3krtbfqkm5c2w,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
78,https://bsky.app/profile/maxkennerly.bsky.social/post/3kreidmn63s2o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
79,https://bsky.app/profile/kenwhite.bsky.social/post/3krjwhlyium26,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
80,https://bsky.app/profile/bencollins.bsky.social/post/3krjs2fph6z2h,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
81,https://bsky.app/profile/gilderthorpe.bsky.social/post/3krh3ryvje22w,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
82,https://bsky.app/profile/jbouie.bsky.social/post/3krgklfkgfc2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
83,https://bsky.app/profile/tiqalicious.bsky.social/post/3krubvbmd7222,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
84,https://bsky.app/profile/jmijin.bsky.social/post/3krjkpi7r3a2y,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
85,https://bsky.app/profile/iboudreau.bsky.social/post/3krhjpu5w3k2u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
86,https://bsky.app/profile/doginacafe.bsky.social/post/3krr7zpde2l2z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
87,https://bsky.app/profile/xoxogossipgita.bsky.social/post/3krn7zt5nmf2y,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
88,https://bsky.app/profile/mlewandowsky.bsky.social/post/3kro2oshg5s22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
89,https://bsky.app/profile/thomaszimmer.bsky.social/post/3krlq6qrgjc2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
90,https://bsky.app/profile/astrokatie.com/post/3krmcu2k3ic2u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
91,https://bsky.app/profile/tfiddlerart.bsky.social/post/3krh53qwtrk2v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
92,https://bsky.app/profile/josie.zone/post/3krh7xsdzdk22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
93,https://bsky.app/profile/foxes-in-love.bsky.social/post/3krqaecoim32x,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
94,https://bsky.app/profile/lulaoficial.bsky.social/post/3krh23s7nxs22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
95,https://bsky.app/profile/jazzpomegranate.bsky.social/post/3krjpswiqnm2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
96,https://bsky.app/profile/parkermolloy.com/post/3krez5regj22q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
97,https://bsky.app/profile/trulyaliem.bsky.social/post/3krhiobnp6c2d,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
98,https://bsky.app/profile/catsofyore.bsky.social/post/3kremd5n5hc23,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
99,https://bsky.app/profile/moiradonegan.bsky.social/post/3krqwbvzw2722,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
100,https://bsky.app/profile/standplaatskrk.pl/post/3krg43qheuk26,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
101,https://bsky.app/profile/thomasfuchs.at/post/3krhr6us2et2i,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
102,https://bsky.app/profile/judet.bsky.social/post/3krivio22bs2z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
103,https://bsky.app/profile/joshuafoust.com/post/3kriyhuyw3c2l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
104,https://bsky.app/profile/kashana.bsky.social/post/3krlrsmhyls2n,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
105,https://bsky.app/profile/aboleyn.bsky.social/post/3krk4eirhe222,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
106,https://bsky.app/profile/spavel.bsky.social/post/3krljezocvc2y,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
107,https://bsky.app/profile/uncleduke1969.bsky.social/post/3krph4g4tv22t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
108,https://bsky.app/profile/amandamarcotte.bsky.social/post/3krk3jd2x6r2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
109,https://bsky.app/profile/bbkitty.bsky.social/post/3krrl36rpuc22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
110,https://bsky.app/profile/richardkadrey.bsky.social/post/3krtonw52x42v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
111,https://bsky.app/profile/kevinmkruse.bsky.social/post/3krlrxrewvv25,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
112,https://bsky.app/profile/comraderobot.bsky.social/post/3krrr7kzegl27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
113,https://bsky.app/profile/sjjphd.bsky.social/post/3kret256itk2h,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
114,https://bsky.app/profile/jbouie.bsky.social/post/3krlseuc2rc25,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
115,https://bsky.app/profile/babadookspinoza.bsky.social/post/3krjjsmfpra2c,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
116,https://bsky.app/profile/marisakabas.bsky.social/post/3krmfpnsgt22e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
117,https://bsky.app/profile/mskellymhayes.bsky.social/post/3krfegibvok2w,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
118,https://bsky.app/profile/kenwhite.bsky.social/post/3krr5ianppn2m,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
119,https://bsky.app/profile/donmoyn.bsky.social/post/3krqyqt2rxk25,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
120,https://bsky.app/profile/clairewillett.bsky.social/post/3krjx53ccmk2z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
121,https://bsky.app/profile/seamas.bsky.social/post/3krlclp364r2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
122,https://bsky.app/profile/kenklippenstein.bsky.social/post/3krtdyori672o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
123,https://bsky.app/profile/catsofyore.bsky.social/post/3krezrxp66225,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
124,https://bsky.app/profile/robertpaulett.bsky.social/post/3krfhbdllsk24,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
125,https://bsky.app/profile/attackerman.bsky.social/post/3krgjgm5bh22j,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
126,https://bsky.app/profile/frovo.bsky.social/post/3krerjlaein2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
127,https://bsky.app/profile/nathankalmoe.bsky.social/post/3krgfro6qpo2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
128,https://bsky.app/profile/guilhermeboulos.bsky.social/post/3krmhgy42zw2w,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
129,https://bsky.app/profile/abbyhiggs.bsky.social/post/3krtpaulfut2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
130,https://bsky.app/profile/mommunism.bsky.social/post/3krfzo76xek2p,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
131,https://bsky.app/profile/rincewind.run/post/3krewejm4ns2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
132,https://bsky.app/profile/anildash.com/post/3kro2wuhfkt22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
133,https://bsky.app/profile/nkalamb.bsky.social/post/3krrp34yx6b27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
134,https://bsky.app/profile/catsofyore.bsky.social/post/3krkcryzhji2c,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
135,https://bsky.app/profile/jbouie.bsky.social/post/3krm65lem522u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
136,https://bsky.app/profile/datab.ae/post/3krrsrsuuoc2l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
137,https://bsky.app/profile/nicebutnot.bsky.social/post/3krrxqoglfh2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
138,https://bsky.app/profile/kevinmkruse.bsky.social/post/3krhcful4zn2c,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
139,https://bsky.app/profile/fishtopher.bsky.social/post/3kroadrqvbc2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
140,https://bsky.app/profile/baddestmamajama.bsky.social/post/3krofeuyzrb2x,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
141,https://bsky.app/profile/kononenko.bsky.social/post/3kretnumrfs2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
142,https://bsky.app/profile/jbouie.bsky.social/post/3krtoubajdl2s,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
143,https://bsky.app/profile/foxes-in-love.bsky.social/post/3krvckvq4ct24,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
144,https://bsky.app/profile/effinbirds.com/post/3krhav3kve223,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
145,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3krffyfhsbs2o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
146,https://bsky.app/profile/kilgoretrout.bsky.social/post/3krk54eb3u224,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
147,https://bsky.app/profile/corinnetags.bsky.social/post/3krmuf7vmft2j,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
148,https://bsky.app/profile/theonion.com/post/3krtwcvmksd2k,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
149,https://bsky.app/profile/laplanck.bsky.social/post/3krjjwij7li2t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
150,https://bsky.app/profile/cheygoulet.bsky.social/post/3krjnp3vkck2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
151,https://bsky.app/profile/pilotv.bsky.social/post/3krjbndgb6s2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
152,https://bsky.app/profile/tikkunolamunist.bsky.social/post/3krliygkd3k2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
153,https://bsky.app/profile/lulaoficial.bsky.social/post/3krjgzepxus2n,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
154,https://bsky.app/profile/adamkotsko.bsky.social/post/3krqtd54sss2o,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
155,https://bsky.app/profile/edburmila.bsky.social/post/3krjjhwbyjr2r,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
156,https://bsky.app/profile/polgreen.bsky.social/post/3krm6lnglgc2a,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
157,https://bsky.app/profile/alinapete.bsky.social/post/3krjnrdl2vd2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
158,https://bsky.app/profile/gonebabygone.bsky.social/post/3krjufojuus2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
159,https://bsky.app/profile/sharkcat.bsky.social/post/3kro5kekq2u22,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
160,https://bsky.app/profile/lulaoficial.bsky.social/post/3krovzs4joy2v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
161,https://bsky.app/profile/pftompkins.bsky.social/post/3krlnz4u6r52j,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
162,https://bsky.app/profile/scottedelman.bsky.social/post/3krgiv2jyfc2k,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
163,https://bsky.app/profile/celebrityhottub.bsky.social/post/3krj52w5taa2h,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
164,https://bsky.app/profile/lulaoficial.bsky.social/post/3krrqlkigam2h,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
165,https://bsky.app/profile/eschatonblog.com/post/3krt5qzkwbw2u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
166,https://bsky.app/profile/phillewis.bsky.social/post/3kro2xdj6mu2u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
167,https://bsky.app/profile/jonbois.bsky.social/post/3krr3vluuvk2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
168,https://bsky.app/profile/polgreen.bsky.social/post/3krhfb6umo42e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
169,https://bsky.app/profile/pbump.com/post/3krtr3gb4e32x,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
170,https://bsky.app/profile/catsofyore.bsky.social/post/3kroh5wqkiu2v,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
171,https://bsky.app/profile/wlknsn.xyz/post/3krhwjxkfnk2k,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
172,https://bsky.app/profile/jesseltaylor.bsky.social/post/3krt5rjuthz2m,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
173,https://bsky.app/profile/mattbinder.bsky.social/post/3krfoj6uxc226,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
174,https://bsky.app/profile/marawilson.bsky.social/post/3krnkllkicz2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
