author_did,author_handle,author_display_name,created_at,text,langs,cid,indexed_at,like_count,reply_count,repost_count,prob_toxic,label_toxic
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T05:51:37.431Z,"looks like we made it
look how far we've come now babeh

you're still the one that I
luuuuv
the only one I dream
ooooof",['en'],bafyreifmi4wlty2vkrjc22qleo365j56zohlrbnl67ncskbakosllndg7i,2024-02-01T05:51:37.431Z,6,0,0,0.1140901,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T05:48:59.323Z,youre correct,['en'],bafyreidne2iwqko6cspaj46iae2txk436udge7a3f3ra7msusildwa3xaq,2024-02-01T05:48:59.323Z,1,1,0,0.016838523,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T05:48:37.511Z,@jacob.gold are those us?,['en'],bafyreifhj3fkbwi5n7dc725oib4zgorojhcmzvf4waid7idx4z336zyl7y,2024-02-01T05:48:37.511Z,9,3,1,0.021903414,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:56:41.233Z,lol no I meant in the editor,['en'],bafyreibpo4qgzkhjsdumye2zuggrhlxm6fopsvbvi7fe3lrh4nqhk7uwrq,2024-02-01T00:56:41.233Z,1,2,0,0.10826672,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:45:41.113Z,this required multiple drafts,['en'],bafyreih7wte3z3kgp32rbcrr6crqp5b7udlttgqd7ryqc24t3kcikcfmci,2024-02-01T00:45:41.113Z,45,4,1,0.019100413,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:45:24.932Z,sunscreen is applied both topically and tropically,['en'],bafyreid7sslorwtlxvcwkelqgx33v2s2daxhi6abzby5oijukpia5yufhq,2024-02-01T00:45:24.932Z,88,5,6,0.02048268,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:36:01.447Z,app is great. the onboarding was really weird though,['en'],bafyreialoc5lzeozgx33yq72ghvprlex3wnuequplujtyqpymc43tuevnq,2024-02-01T00:36:01.447Z,11,2,0,0.033334624,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:15:49.923Z,either a bug or the person has requested their posts not be viewed by logged out ppl,['en'],bafyreieflpn3itd5gpikp5tfrnf3stufigwtfbcgbarpc4v3shuuqgexaq,2024-02-01T00:15:49.923Z,1,1,0,0.033806015,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:15:09.131Z,CVS stands for Comma Veperated Salues,['en'],bafyreigquldym5hgyxxyutqw3mvdg7kggwff2e2gdr2ta6ef3ralij3hc4,2024-02-01T00:15:09.131Z,235,19,35,0.069754265,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:10:40.574Z,"that's great, congrats!",['en'],bafyreiexmjs6bg3n2lsh2bzx5uvwzvc3xrzqnn43ualhusatmbl25sme74,2024-02-01T00:10:40.574Z,2,0,0,0.014450971,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:01:45.195Z,atatat attacks itself in confusion,['en'],bafyreic6kchmqtdvtdnhvz3ouw3zjxbdwc7guoo4dbos2tg5dxn5r3u6bm,2024-02-01T00:01:45.195Z,12,0,0,0.16098402,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-02-01T00:00:53.622Z,"the joke, you see, is",['en'],bafyreihxfaj26p5ptwwjnjbbiynm4qfj5lbgkb2vyu7q5rtbzw3j6isvru,2024-02-01T00:00:53.622Z,9,0,0,0.040925518,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T23:59:35.373Z,at:// is just another protocol scheme,['en'],bafyreigqnilz2mcmjlh327es5qrpm7hbn2v2itwazp2mgy3ypbydiwsqty,2024-01-31T23:59:35.373Z,26,3,0,0.021196328,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T22:29:26.381Z,none of those gags are easy either. but that opening flip fall on the table is WILD,['en'],bafyreifkpb3xkwbg4s7gy3gy427on5vgx6h5f7b2u6tgije3yadwx27wye,2024-01-31T22:29:26.381Z,3,0,0,0.11450345,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T22:25:39.318Z,that's incredible,['en'],bafyreifchrx63sruk6q6jmeukogyoz5zbevxckek6l2kitsdwzitc4vafu,2024-01-31T22:25:39.318Z,1,0,0,0.028385026,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T22:01:10.310Z,certified cutie ofc,['en'],bafyreiezz4qe4phduw2i676wuwypwd5qtni3maifqvmtvrhlcbw2rnmbv4,2024-01-31T22:01:10.310Z,2,1,0,0.04760506,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T22:00:14.521Z,"a fun way to ruin the superbowl party is to say ""fake"" every time there's a tackle",['en'],bafyreigy6ezxlolxu5whb335fhmfq2wo5bsdaxgqknpihzi24l4byweuzy,2024-01-31T22:00:14.521Z,455,29,37,0.23090743,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T21:57:17.869Z,my mom once compared the fight choreography in action movies to dance and I was so mad because she was right,['en'],bafyreie5ux4xs5ionlxidqnkqnyikjwcg6rpgu25gxunuhi2drtpytpga4,2024-01-31T21:57:17.869Z,21,5,0,0.10956833,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T21:55:50.558Z,"sorry, tight pants tossy ball*",['en'],bafyreigrrir6nedkgdvs3pmtsmjzwj6awxj3wekdikxg23w7wbe3m4gw2e,2024-01-31T21:55:50.558Z,3,0,0,0.50759226,1
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T21:54:35.437Z,can we please for once just keep sports out of football,['en'],bafyreihqpy7es6kvd4gift2uhrdmfyfleg5relun54oka6gm2vjhhwjaga,2024-01-31T21:54:35.437Z,141,9,18,0.06500591,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T21:41:34.133Z,"first thing I notice, your tongue sticks out",['en'],bafyreifxkuesh2dfydlgvpppty6kxfipvklxyudgfklqtkch2suii2kn6m,2024-01-31T21:41:34.133Z,7,2,0,0.36456755,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T21:35:12.221Z,baby!,['en'],bafyreibganeuhmi64f4qotmoxtdmiiqtlknylaiqeervyvmkj3s2otdzba,2024-01-31T21:35:12.221Z,9,0,0,0.038519915,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:58:54.694Z,worrying,['en'],bafyreicm3k5w2rcozg2shtdomecwipbcpkjllyxdhxzqhdapuvxeb2vwke,2024-01-31T20:58:54.694Z,1,1,0,0.031449065,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:49:19.519Z,the biggest of boys,['en'],bafyreidog4frxzsoxffioz3h7ic7ty4o5qifpudtrt6ifqpsuce4somcci,2024-01-31T20:49:19.519Z,6,1,1,0.07054565,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:41:12.109Z,that's called Negging,['en'],bafyreihble5cn4yrkj6xveiiwjyvx4zkqcuxzqoe3ecepb6vma4tjmfupq,2024-01-31T20:41:12.109Z,5,1,0,0.20219094,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:40:04.735Z,what,['en'],bafyreifgtyoqpq53437eshdhkewdxpqi67y37ma7zazjttgzeq5sxddzay,2024-01-31T20:40:04.735Z,1,2,0,0.016838523,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:39:36.955Z,literally everybody if their back did that:,['en'],bafyreibyiwtgep3kr7u2avc3hpqnmfz5ymmh2bkxrmax3hlhotvhthqkxq,2024-01-31T20:39:36.955Z,30,1,1,0.050078966,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:36:28.113Z,bangin the judgment man for judgments,['en'],bafyreigasxals5jfw4ptukmsupi36rxnrxjd5mzjp3q2o5b7kqshi77jne,2024-01-31T20:36:28.113Z,16,1,2,0.2854733,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:33:48.352Z,imagine being this comfortable,['en'],bafyreid6fxz46iuntdhspku5olupkttizovc4p3vb34znxdpx3k2cyb67q,2024-01-31T20:33:48.352Z,822,33,56,0.049831573,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:25:21.573Z,"only god* can judge me

*literally everybody",['en'],bafyreiat5lqdqvic7wqjy6bsv5pabbjr6d2ppypq2fgcq6smlqk4lk45mu,2024-01-31T20:25:21.573Z,26,2,0,0.03781283,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:23:37.305Z,yep fix on the way,['en'],bafyreifwbvkucfxuzx7ir46rkzcqkak5lnkzl5eyqe7wyc4vgmrfafofoe,2024-01-31T20:23:37.305Z,5,2,0,0.026617315,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T20:22:41.726Z,"this is pretty bizarre to be honest. it shouldn't be possible for *nothing* to show

have you tried restarting the app?

do other feeds do this?",['en'],bafyreidsy5gcf53zwk6lacx4ca2bbe4pytgdq2cud5s5nffavfho5xrzo4,2024-01-31T20:22:41.726Z,1,1,0,0.025556687,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:33:21.744Z,what version? (you can see this at the bottom of settings),['en'],bafyreiaqh7mg72krewfpppvnwhpsubhioid6rtpjiitprckisw2qmgzony,2024-01-31T18:33:21.744Z,4,1,0,0.01646154,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:33:00.074Z,I'm told a fix was deployed so you should be good,['en'],bafyreia2rkxgtllnurcl2b4zd3xoocwdcrzqabdr577ljvbmw5cjuyqiuy,2024-01-31T18:33:00.074Z,3,0,0,0.03639866,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:28:35.787Z,okay I'm told the fix is deployed but it won't be retroactive,['en'],bafyreiaexxfesqsyjtchykzgxedbctufl64edu2ubbish5d5v6rwkkytcm,2024-01-31T18:28:35.787Z,5,1,0,0.024849601,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:28:09.750Z,mobile web or native app?,['en'],bafyreiftg4mepccp4rs4ychhbhnhlesnvqd7srerelzcpqqotpmqs6fkji,2024-01-31T18:28:09.750Z,4,1,0,0.00804228,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:27:49.784Z,yeah understand that,['en'],bafyreigixhojjqvv325y3fq6k4lnlc54ck3j3cmqc6rh4unbpqnrujpthq,2024-01-31T18:27:49.784Z,6,0,0,0.021549871,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:27:28.080Z,"1, just a priority thing, there's nothing blocking it being added

2, we've actually got that feature in review now",['en'],bafyreib55nfjzidceo53w6aagkthhqg7xuu2lvurbcfaaokvm6cfwkbf2u,2024-01-31T18:27:28.080Z,10,2,1,0.016587202,0
did:plc:ragtjsm2j2vknwkz3zp4oxrd,pfrazee.com,Paul Frazee 🦋,2024-01-31T18:24:02.024Z,fix on the way,['en'],bafyreig5ljovgrmnta3cezjdyk6uzsdmijn7mhvmyf73lc54d5bh3irav4,2024-01-31T18:24:02.024Z,4,1,0,0.02826718,0
